2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 02:53:04,634 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.0)
2024-12-05 02:53:04,895 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.1)
2024-12-05 02:53:05,157 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.0)
2024-12-05 02:53:05,445 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.1)
2024-12-05 02:53:05,717 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.0)
2024-12-05 02:53:06,018 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.1)
2024-12-05 02:53:06,286 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.2)
2024-12-05 02:53:06,567 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.0)
2024-12-05 02:53:06,840 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.1)
2024-12-05 02:53:07,157 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.2)
2024-12-05 02:53:07,457 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.3)
2024-12-05 02:53:07,722 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.0)
2024-12-05 02:53:07,992 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.1)
2024-12-05 02:53:08,262 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.2)
2024-12-05 02:53:08,540 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.3)
2024-12-05 02:53:08,811 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.0)
2024-12-05 02:53:09,130 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.1)
2024-12-05 02:53:09,379 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.2)
2024-12-05 02:53:09,630 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.3)
2024-12-05 02:53:09,885 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.4)
2024-12-05 02:53:10,128 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.5)
2024-12-05 02:53:10,376 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.6)
2024-12-05 02:53:10,634 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.7)
2024-12-05 02:53:10,895 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.8)
2024-12-05 02:53:11,146 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.9)
2024-12-05 02:53:11,404 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.10)
2024-12-05 02:53:11,654 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.11)
2024-12-05 02:53:11,902 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.12)
2024-12-05 02:53:12,159 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.13)
2024-12-05 02:53:12,422 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.14)
2024-12-05 02:53:12,672 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.15)
2024-12-05 02:53:12,921 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.16)
2024-12-05 02:53:13,173 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.17)
2024-12-05 02:53:13,471 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.18)
2024-12-05 02:53:13,720 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.19)
2024-12-05 02:53:13,978 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.20)
2024-12-05 02:53:14,231 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.21)
2024-12-05 02:53:14,486 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.0)
2024-12-05 02:53:14,742 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.1)
2024-12-05 02:53:15,057 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.2)
2024-12-05 02:53:15,310 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.3)
2024-12-05 02:53:15,559 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.4)
2024-12-05 02:53:15,811 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.2)
2024-12-05 02:53:16,065 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.3)
2024-12-05 02:53:16,320 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.4)
2024-12-05 02:53:16,568 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.5)
2024-12-05 02:53:16,840 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.0)
2024-12-05 02:53:17,087 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.1)
2024-12-05 02:53:17,341 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.2)
2024-12-05 02:53:17,616 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.3)
2024-12-05 02:53:17,886 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.0)
2024-12-05 02:53:18,143 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.1)
2024-12-05 02:53:18,396 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.2)
2024-12-05 02:53:18,652 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.3)
2024-12-05 02:53:18,906 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.4)
2024-12-05 02:53:19,168 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.5)
2024-12-05 02:53:19,415 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.6)
2024-12-05 02:53:19,668 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.7)
2024-12-05 02:53:19,921 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.8)
2024-12-05 02:53:20,175 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.9)
2024-12-05 02:53:20,426 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.10)
2024-12-05 02:53:20,685 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.11)
2024-12-05 02:53:20,935 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.12)
2024-12-05 02:53:21,182 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.13)
2024-12-05 02:53:21,435 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.14)
2024-12-05 02:53:21,691 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.15)
2024-12-05 02:53:21,940 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.16)
2024-12-05 02:53:22,202 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.17)
2024-12-05 02:53:22,472 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.18)
2024-12-05 02:53:22,735 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.19)
2024-12-05 02:53:22,996 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.20)
2024-12-05 02:53:23,273 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.21)
2024-12-05 02:53:23,540 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.22)
2024-12-05 02:53:23,792 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.23)
2024-12-05 02:53:24,400 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy .env with link from template to each version directory] ************************************************************************************************************
2024-12-05 02:53:24,400 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.0)
2024-12-05 02:53:24,947 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.1)
2024-12-05 02:53:25,439 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.2)
2024-12-05 02:53:25,908 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.3)
2024-12-05 02:53:26,398 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.4)
2024-12-05 02:53:26,962 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.5)
2024-12-05 02:53:27,449 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.0)
2024-12-05 02:53:27,970 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.1)
2024-12-05 02:53:28,478 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.2)
2024-12-05 02:53:28,963 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.3)
2024-12-05 02:53:29,455 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.4)
2024-12-05 02:53:29,938 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.0)
2024-12-05 02:53:30,439 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.1)
2024-12-05 02:53:30,909 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.2)
2024-12-05 02:53:31,388 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.3)
2024-12-05 02:53:31,881 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.4)
2024-12-05 02:53:32,357 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.5)
2024-12-05 02:53:32,844 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.6)
2024-12-05 02:53:33,339 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.0)
2024-12-05 02:53:33,811 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.1)
2024-12-05 02:53:34,299 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.2)
2024-12-05 02:53:34,773 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.0)
2024-12-05 02:53:35,253 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.1)
2024-12-05 02:53:35,721 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.2)
2024-12-05 02:53:36,210 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.0)
2024-12-05 02:53:36,688 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.1)
2024-12-05 02:53:37,169 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.2)
2024-12-05 02:53:37,647 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.0)
2024-12-05 02:53:38,138 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.1)
2024-12-05 02:53:38,610 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.2)
2024-12-05 02:53:39,093 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.3)
2024-12-05 02:53:39,565 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.4)
2024-12-05 02:53:40,051 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.5)
2024-12-05 02:53:40,561 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.6)
2024-12-05 02:53:41,028 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.7)
2024-12-05 02:53:41,507 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.8)
2024-12-05 02:53:41,974 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.9)
2024-12-05 02:53:42,450 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.10)
2024-12-05 02:53:42,928 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.11)
2024-12-05 02:53:43,408 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.12)
2024-12-05 02:53:43,877 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.13)
2024-12-05 02:53:44,362 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.14)
2024-12-05 02:53:44,838 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.15)
2024-12-05 02:53:45,307 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.16)
2024-12-05 02:53:45,796 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.17)
2024-12-05 02:53:46,318 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.19)
2024-12-05 02:53:46,802 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.20)
2024-12-05 02:53:47,286 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.21)
2024-12-05 02:53:47,777 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.22)
2024-12-05 02:53:48,255 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.23)
2024-12-05 02:53:48,738 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.7.0)
2024-12-05 02:53:49,250 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.7.1)
2024-12-05 02:53:49,771 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.8.0)
2024-12-05 02:53:50,297 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.8.1)
2024-12-05 02:53:50,779 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.9.0)
2024-12-05 02:53:51,304 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.9.1)
2024-12-05 02:53:51,811 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.10.0)
2024-12-05 02:53:52,302 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.10.1)
2024-12-05 02:53:52,776 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.11.1)
2024-12-05 02:53:53,254 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.11.2)
2024-12-05 02:53:53,729 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.0)
2024-12-05 02:53:54,199 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.1)
2024-12-05 02:53:54,683 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.0)
2024-12-05 02:53:55,167 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.1)
2024-12-05 02:53:55,655 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.0)
2024-12-05 02:53:56,138 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.1)
2024-12-05 02:53:56,623 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.2)
2024-12-05 02:53:57,098 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.0)
2024-12-05 02:53:57,588 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.1)
2024-12-05 02:53:58,075 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.2)
2024-12-05 02:53:58,583 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.3)
2024-12-05 02:53:59,062 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.0)
2024-12-05 02:53:59,536 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.1)
2024-12-05 02:54:00,033 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.2)
2024-12-05 02:54:00,602 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.3)
2024-12-05 02:54:01,095 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.0)
2024-12-05 02:54:01,706 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.1)
2024-12-05 02:54:02,276 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.2)
2024-12-05 02:54:02,830 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.3)
2024-12-05 02:54:03,369 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.4)
2024-12-05 02:54:03,894 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.5)
2024-12-05 02:54:04,406 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.6)
2024-12-05 02:54:04,981 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.7)
2024-12-05 02:54:05,501 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.8)
2024-12-05 02:54:05,998 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.9)
2024-12-05 02:54:06,516 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.10)
2024-12-05 02:54:07,036 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.11)
2024-12-05 02:54:07,536 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.12)
2024-12-05 02:54:08,032 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.13)
2024-12-05 02:54:08,556 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.14)
2024-12-05 02:54:09,074 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.15)
2024-12-05 02:54:09,583 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.16)
2024-12-05 02:54:10,066 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.17)
2024-12-05 02:54:10,556 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.18)
2024-12-05 02:54:11,035 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.19)
2024-12-05 02:54:11,518 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.20)
2024-12-05 02:54:11,997 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.17.21)
2024-12-05 02:54:12,477 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.0)
2024-12-05 02:54:12,955 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.1)
2024-12-05 02:54:13,434 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.2)
2024-12-05 02:54:13,915 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.3)
2024-12-05 02:54:14,418 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.18.4)
2024-12-05 02:54:14,932 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.2)
2024-12-05 02:54:15,444 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.3)
2024-12-05 02:54:15,925 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.4)
2024-12-05 02:54:16,407 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.19.5)
2024-12-05 02:54:16,924 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.0)
2024-12-05 02:54:17,405 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.1)
2024-12-05 02:54:17,882 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.2)
2024-12-05 02:54:18,378 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.20.3)
2024-12-05 02:54:18,854 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.0)
2024-12-05 02:54:19,333 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.1)
2024-12-05 02:54:19,810 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.2)
2024-12-05 02:54:20,292 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.3)
2024-12-05 02:54:20,771 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.4)
2024-12-05 02:54:21,250 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.5)
2024-12-05 02:54:21,716 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.6)
2024-12-05 02:54:22,188 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.7)
2024-12-05 02:54:22,706 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.8)
2024-12-05 02:54:23,181 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.9)
2024-12-05 02:54:23,688 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.10)
2024-12-05 02:54:24,174 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.11)
2024-12-05 02:54:24,659 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.12)
2024-12-05 02:54:25,138 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.13)
2024-12-05 02:54:25,619 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.14)
2024-12-05 02:54:26,092 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.15)
2024-12-05 02:54:26,589 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.16)
2024-12-05 02:54:27,088 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.17)
2024-12-05 02:54:27,645 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.18)
2024-12-05 02:54:28,215 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.19)
2024-12-05 02:54:28,694 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.20)
2024-12-05 02:54:29,169 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.21)
2024-12-05 02:54:29,648 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.22)
2024-12-05 02:54:30,125 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.21.23)
2024-12-05 02:54:30,720 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy docker-compose.yml from template to each version directory] ********************************************************************************************************
2024-12-05 02:54:30,720 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.0)
2024-12-05 02:54:31,189 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.1)
2024-12-05 02:54:31,679 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.2)
2024-12-05 02:54:32,174 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.3)
2024-12-05 02:54:32,665 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.4)
2024-12-05 02:54:33,176 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.0.5)
2024-12-05 02:54:33,680 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.0)
2024-12-05 02:54:34,170 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.1)
2024-12-05 02:54:34,696 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.2)
2024-12-05 02:54:35,234 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.3)
2024-12-05 02:54:35,719 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.1.4)
2024-12-05 02:54:36,186 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.0)
2024-12-05 02:54:36,673 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.1)
2024-12-05 02:54:37,154 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.2)
2024-12-05 02:54:37,638 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.3)
2024-12-05 02:54:38,121 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.4)
2024-12-05 02:54:38,597 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.5)
2024-12-05 02:54:39,082 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.2.6)
2024-12-05 02:54:39,600 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.0)
2024-12-05 02:54:40,072 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.1)
2024-12-05 02:54:40,560 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.3.2)
2024-12-05 02:54:41,035 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.0)
2024-12-05 02:54:41,511 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.1)
2024-12-05 02:54:41,992 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.4.2)
2024-12-05 02:54:42,470 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.0)
2024-12-05 02:54:42,959 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.1)
2024-12-05 02:54:43,454 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.5.2)
2024-12-05 02:54:43,927 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.0)
2024-12-05 02:54:44,433 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.1)
2024-12-05 02:54:44,924 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.2)
2024-12-05 02:54:45,403 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.3)
2024-12-05 02:54:45,878 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.4)
2024-12-05 02:54:46,355 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.5)
2024-12-05 02:54:46,826 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.6)
2024-12-05 02:54:47,324 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.7)
2024-12-05 02:54:47,791 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.8)
2024-12-05 02:54:48,282 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.9)
2024-12-05 02:54:48,765 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.10)
2024-12-05 02:54:49,269 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.11)
2024-12-05 02:54:49,745 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.12)
2024-12-05 02:54:50,248 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.13)
2024-12-05 02:54:50,738 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.14)
2024-12-05 02:54:51,242 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.15)
2024-12-05 02:54:51,726 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.16)
2024-12-05 02:54:52,214 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.17)
2024-12-05 02:54:52,695 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.19)
2024-12-05 02:54:53,187 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.20)
2024-12-05 02:54:53,668 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.21)
2024-12-05 02:54:54,164 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.22)
2024-12-05 02:54:54,648 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.6.23)
2024-12-05 02:54:55,123 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.7.0)
2024-12-05 02:54:55,589 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.7.1)
2024-12-05 02:54:56,069 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.8.0)
2024-12-05 02:54:56,558 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.8.1)
2024-12-05 02:54:57,049 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.9.0)
2024-12-05 02:54:57,531 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.9.1)
2024-12-05 02:54:58,010 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.10.0)
2024-12-05 02:54:58,496 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.10.1)
2024-12-05 02:54:58,977 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.11.1)
2024-12-05 02:54:59,492 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.11.2)
2024-12-05 02:54:59,970 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.0)
2024-12-05 02:55:00,447 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.12.1)
2024-12-05 02:55:00,922 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.0)
2024-12-05 02:55:01,449 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.13.1)
2024-12-05 02:55:02,000 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.0)
2024-12-05 02:55:02,553 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.1)
2024-12-05 02:55:03,083 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.14.2)
2024-12-05 02:55:03,663 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.0)
2024-12-05 02:55:04,151 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.1)
2024-12-05 02:55:04,708 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.2)
2024-12-05 02:55:05,227 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.15.3)
2024-12-05 02:55:05,726 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.0)
2024-12-05 02:55:06,262 p=1579080 u=root n=ansible | changed: [localhost] => (item=7.16.1)
